Accession	Female_Parent	Male_Parent	Cross_Type
50395			
95NA-00063			
BAHKYEHEMAA			
BOUNOUA_BLANC			
CH92108			
DOKUNBAHKYE			
ESAMBAHKYE			
IITA-TMS-BAD9100455			
IITA-TMS-BAD9200061	TMEB1	IITA-TMS-IBA91934	
IITA-TMS-BAD9200068			
IITA-TMS-BAD92033			
IITA-TMS-IBA000017	IITA-TMS-IBA91934 (4X) CTR-2		open
IITA-TMS-IBA000028	IITA-TMS-IBA940330		open
IITA-TMS-IBA000049	IITA-TMS-BAD9100455		open
IITA-TMS-IBA000061	IITA-TMS-IBA960249		open
IITA-TMS-IBA000070	TMEB459		open
IITA-TMS-IBA000093	IITA-TMS-IBA9101730 CTR-2	IITA-TMS-IBA961642	biparental
IITA-TMS-IBA000101	IITA-TMS-IBA30572	IITA-TMS-IBA920398	biparental
IITA-TMS-IBA000107	IITA-TMS-IBA91934	IITA-TMS-IBA940239	biparental
IITA-TMS-IBA000203			
IITA-TMS-IBA000211			
IITA-TMS-IBA000214			
IITA-TMS-IBA000222			
IITA-TMS-IBA000338			
IITA-TMS-IBA000342			
IITA-TMS-IBA000345			
IITA-TMS-IBA000346			
IITA-TMS-IBA000350			
IITA-TMS-IBA000354			
IITA-TMS-IBA000355			
IITA-TMS-IBA000364			
IITA-TMS-IBA000378			
IITA-TMS-IBA000388			
IITA-TMS-IBA010034	IITA-TMS-IBA920326	CM8213A-1	biparental
IITA-TMS-IBA010040	IITA-TMS-IBA920326	CM8699-6	biparental
IITA-TMS-IBA010045	IITA-TMS-IBA920326	CM9002-2	biparental
IITA-TMS-IBA010046	IITA-TMS-IBA920326	CM8710-1	biparental
IITA-TMS-IBA010085	IITA-TMS-IBA970270	SM1651-23	biparental
IITA-TMS-IBA010098	IITA-TMS-IBA961632	SM1312-14	biparental
IITA-TMS-IBA010103	IITA-TMS-IBA940239	SM1883-5	biparental
IITA-TMS-IBA010131	IITA-TMS-IBA940006	CM8281B-20	biparental
IITA-TMS-IBA010169	IITA-TMS-ZAR950633	IITA-TMS-IBA950104	biparental
IITA-TMS-IBA010171	IITA-TMS-KAN930100	IITA-TMS-IBA950063	biparental
IITA-TMS-IBA010265	IITA-TMS-IBA960065	CM8952-41	biparental
IITA-TMS-IBA010536			
IITA-TMS-IBA010606			
IITA-TMS-IBA010615			
IITA-TMS-IBA010622			
IITA-TMS-IBA010728			
IITA-TMS-IBA010732			
IITA-TMS-IBA010753			
IITA-TMS-IBA010760			
IITA-TMS-IBA010819			
IITA-TMS-IBA010903			
IITA-TMS-IBA011086	IITA-TMS-IBA950967	IITA-TMS-IBA950925	biparental
IITA-TMS-IBA011097	IITA-TMS-IBA950379	IITA-TMS-IBA960035	biparental
IITA-TMS-IBA011115	IITA-TMS-IBA950379	IITA-TMS-IBA960590	biparental
